id,price
54273,24067.32232
54274,19890.57587
54275,27221.56924
54276,58159.71632
54277,39035.64129
54278,106750.2234
54279,46857.97572
54280,31478.80166
54281,12765.32653
54282,54086.05348
54283,42199.00267
54284,15177.14954
54285,62288.07336
54286,42323.56651
54287,50151.02032
54288,91483.27943
54289,80455.09519
54290,28569.74802
54291,16295.33542
54292,90186.77826
54293,41900.40009
54294,43048.74269
54295,41198.14838
54296,75734.95379
54297,18801.04302
54298,17186.74002
54299,21868.05303
54300,44486.88294
54301,70386.88291
54302,53899.46976
54303,68123.35555
54304,45585.32743
54305,63307.18546
54306,29009.74869
54307,39515.09135
54308,9751.470255
54309,28246.6348
54310,15477.85589
54311,66234.74295
54312,14591.74852
54313,17336.39642
54314,57839.1602
54315,86960.49755
54316,25654.63913
54317,46418.1492
54318,54465.30401
54319,12066.67132
54320,56984.80426
54321,47844.98584
54322,13234.39703
54323,34376.91762
54324,61970.98607
54325,74859.63522
54326,18984.49746
54327,71330.06138
54328,22778.42121
54329,43386.01549
54330,21296.5734
54331,64297.46387
54332,17836.37492
54333,57527.20017
54334,40875.23591
54335,31523.25621
54336,17746.49707
54337,12813.1582
54338,77164.20877
54339,208300.2789
54340,12546.07415
54341,104979.1838
54342,57700.21449
54343,33685.75177
54344,101694.5198
54345,14952.78463
54346,65642.0427
54347,14459.58076
54348,26786.55827
54349,27563.65713
54350,82254.24546
54351,17253.55655
54352,47238.0014
54353,83542.75784
54354,35762.45783
54355,14643.35028
54356,58823.94611
54357,51205.57596
54358,60340.64925
54359,12297.577
54360,40878.9748
54361,65665.32475
54362,64191.27076
54363,91746.99812
54364,19908.1893
54365,25283.64427
54366,66586.13336
54367,29660.52852
54368,28104.65494
54369,29931.66213
54370,31308.33153
54371,40601.99594
54372,36584.39635
54373,57598.7024
54374,23017.44027
54375,75988.81443
54376,24067.20808
54377,45903.03456
54378,27538.70116
54379,17091.90251
54380,11857.82183
54381,190424.6661
54382,13747.28926
54383,70121.05605
54384,24025.12799
54385,23825.23389
54386,11078.27574
54387,46247.40229
54388,82463.46815
54389,10849.68711
54390,78665.96425
54391,12529.23712
54392,28176.80935
54393,49362.68283
54394,17260.66078
54395,37887.2074
54396,83234.34474
54397,57048.12309
54398,37232.68737
54399,71020.40428
54400,73530.15701
54401,49239.75294
54402,22765.66549
54403,77677.5912
54404,22824.64126
54405,15749.70334
54406,84215.66016
54407,11334.89944
54408,103439.8384
54409,22645.28596
54410,54659.32637
54411,17216.27372
54412,62399.22574
54413,41286.72213
54414,31386.5275
54415,17697.51716
54416,79950.18178
54417,17083.06391
54418,18811.18551
54419,15017.56604
54420,71179.65528
54421,15081.09814
54422,35661.427
54423,23142.82307
54424,46982.06357
54425,24673.47454
54426,22574.30062
54427,13397.84041
54428,11035.56862
54429,13130.71708
54430,14926.0922
54431,10524.28563
54432,15902.07311
54433,44968.57115
54434,40839.04077
54435,22063.96628
54436,24046.88303
54437,15476.46766
54438,49233.63484
54439,36317.98222
54440,37160.07836
54441,30497.9281
54442,54217.69983
54443,62781.38994
54444,15189.80709
54445,45706.885
54446,27026.04477
54447,32572.27894
54448,31681.93566
54449,18175.45262
54450,32643.21697
54451,10138.58132
54452,16731.66711
54453,20464.29643
54454,34600.29133
54455,11708.98325
54456,39836.80496
54457,42004.81035
54458,18386.01333
54459,43866.60131
54460,68575.44262
54461,16120.22078
54462,45091.64889
54463,67012.67263
54464,22359.044
54465,50037.90799
54466,48752.08968
54467,44892.08331
54468,17625.60125
54469,34151.13953
54470,16405.87877
54471,55678.81685
54472,29737.15441
54473,35263.82332
54474,81167.45335
54475,38989.28324
54476,24199.19548
54477,34478.83247
54478,42839.36121
54479,32306.26292
54480,21489.64953
54481,14319.01813
54482,36937.62363
54483,49406.75241
54484,17801.38714
54485,35185.60519
54486,17591.28608
54487,44688.01823
54488,11875.71869
54489,20970.34543
54490,22364.63242
54491,13476.91671
54492,44422.91881
54493,105436.6007
54494,21675.81342
54495,47229.97828
54496,26593.03522
54497,43608.53958
54498,69488.58636
54499,35399.70763
54500,61247.18126
54501,16553.05988
54502,23111.42932
54503,64907.31268
54504,28195.92096
54505,33112.75301
54506,45574.40696
54507,60160.65137
54508,26588.0791
54509,31682.70521
54510,38861.66542
54511,26162.01811
54512,48258.35596
54513,27641.45773
54514,20081.64468
54515,9490.004807
54516,33682.44483
54517,10999.8206
54518,47855.2207
54519,19198.48036
54520,26104.50437
54521,41433.49877
54522,43924.23947
54523,51653.7156
54524,41250.73983
54525,19704.99397
54526,136170.3623
54527,228420.6941
54528,44113.60702
54529,47479.33581
54530,24180.21471
54531,38586.16597
54532,137344.8633
54533,11685.64919
54534,23117.86966
54535,83234.34474
54536,11498.30019
54537,59270.78835
54538,39329.18248
54539,23482.10263
54540,9931.16199
54541,20804.98972
54542,151641.2732
54543,18260.51402
54544,30314.53707
54545,9958.324235
54546,20090.16669
54547,27241.88686
54548,122317.6236
54549,21181.46513
54550,17913.37122
54551,11747.82268
54552,46345.71745
54553,50445.25211
54554,17901.44219
54555,63927.28626
54556,47605.20643
54557,9805.32084
54558,83429.84893
54559,29272.77695
54560,16915.58528
54561,37064.63804
54562,68824.45081
54563,12157.0851
54564,12813.1582
54565,16665.67439
54566,14895.18808
54567,77999.07682
54568,37036.27291
54569,12916.92758
54570,47966.24062
54571,65416.51279
54572,57220.13779
54573,24851.4934
54574,70142.03166
54575,43966.67251
54576,10174.87621
54577,49875.26979
54578,18579.74717
54579,65055.40082
54580,13932.1157
54581,12821.10585
54582,64349.86709
54583,56421.02476
54584,65580.11055
54585,40642.35141
54586,31042.54107
54587,69064.78515
54588,43310.22448
54589,37625.40332
54590,61183.35548
54591,17931.94372
54592,21098.40234
54593,39442.23117
54594,83414.36112
54595,34729.79119
54596,25684.90932
54597,45093.27886
54598,30439.7275
54599,121854.8231
54600,16148.23863
54601,69378.02784
54602,63570.88173
54603,75164.53194
54604,47320.77141
54605,16534.60064
54606,12539.05203
54607,36958.88326
54608,59553.01446
54609,48742.29503
54610,12390.49249
54611,33188.01517
54612,20400.99323
54613,20242.98912
54614,12140.95877
54615,21260.40216
54616,32570.50089
54617,53013.60859
54618,60126.5914
54619,10222.67937
54620,15181.85944
54621,14456.43198
54622,33112.75301
54623,66123.74021
54624,24989.03744
54625,22659.47886
54626,31589.77753
54627,40937.82137
54628,27896.0777
54629,25400.86955
54630,19072.31776
54631,41575.72482
54632,193834.2291
54633,13465.00131
54634,56172.44253
54635,76236.13827
54636,13342.78136
54637,39659.24838
54638,71132.576
54639,35302.3699
54640,44629.86626
54641,31688.86321
54642,29507.82574
54643,22405.10069
54644,15005.09841
54645,60601.03743
54646,17395.43671
54647,36209.02836
54648,17801.38714
54649,47813.26392
54650,116691.1608
54651,10079.91234
54652,9589.316576
54653,46731.39264
54654,55637.63486
54655,34327.53746
54656,16311.56504
54657,29429.10421
54658,92540.14738
54659,30815.79011
54660,67962.92487
54661,18127.74488
54662,17289.21375
54663,33612.27547
54664,39493.96038
54665,29134.47304
54666,52413.7511
54667,48114.30489
54668,25563.24849
54669,67944.64208
54670,34929.75133
54671,32988.64307
54672,44477.07734
54673,35765.32014
54674,28569.58653
54675,18764.6715
54676,42435.27903
54677,86798.25133
54678,122402.2613
54679,39659.24838
54680,11038.19082
54681,83627.82812
54682,39416.95386
54683,49749.82418
54684,15189.80709
54685,49710.04109
54686,21123.42641
54687,12300.79208
54688,31737.58871
54689,14935.18712
54690,86243.51845
54691,29836.48118
54692,23633.16866
54693,28291.12625
54694,34379.12718
54695,33647.60365
54696,15181.85944
54697,92725.17954
54698,71020.27523
54699,74245.16347
54700,59894.92395
54701,50394.12684
54702,34792.27152
54703,43962.88582
54704,25219.39369
54705,13138.50213
54706,48931.58424
54707,89645.66742
54708,49727.32923
54709,52291.45802
54710,82552.40944
54711,69581.75038
54712,11791.05078
54713,14924.11118
54714,61049.68193
54715,39456.61092
54716,57246.05814
54717,18442.57027
54718,14935.18712
54719,23926.00128
54720,33924.04578
54721,35570.81728
54722,8957.056304
54723,50079.59658
54724,14669.68605
54725,42732.98294
54726,67007.78901
54727,19186.68591
54728,9085.521171
54729,24204.14664
54730,64604.88999
54731,10771.21348
54732,30575.54363
54733,16576.8082
54734,19803.54671
54735,26365.39264
54736,16513.01774
54737,21703.52791
54738,49978.72778
54739,33200.60795
54740,8957.056304
54741,33459.97065
54742,11278.69714
54743,56178.16158
54744,19901.14321
54745,39229.01295
54746,39780.03878
54747,40240.13193
54748,11654.67229
54749,12074.9022
54750,49115.07782
54751,38276.44275
54752,29723.82367
54753,13922.12035
54754,15394.23076
54755,34486.48269
54756,14065.25146
54757,31195.61114
54758,11175.06613
54759,12783.89011
54760,12455.83068
54761,13887.81536
54762,40524.00762
54763,23760.02981
54764,61282.35699
54765,43140.31751
54766,25635.37845
54767,20036.27472
54768,74859.63522
54769,100325.8457
54770,22388.43403
54771,45590.8949
54772,10421.07646
54773,13348.88704
54774,10764.38357
54775,35067.6679
54776,59972.39727
54777,12821.10585
54778,79720.72112
54779,35670.09518
54780,21358.27337
54781,61472.67364
54782,26077.11861
54783,51533.09118
54784,22515.87249
54785,37551.3799
54786,56665.58054
54787,15456.74999
54788,13073.03733
54789,9751.470255
54790,39756.83033
54791,59647.22156
54792,21925.46902
54793,28820.26476
54794,11462.46949
54795,81917.41168
54796,57573.28514
54797,23663.37639
54798,43589.51296
54799,91036.37431
54800,30314.53707
54801,23784.47676
54802,12823.05399
54803,48946.88229
54804,10764.38357
54805,30846.20964
54806,42744.87732
54807,15729.10961
54808,44047.77492
54809,47965.68369
54810,37793.36697
54811,12860.1574
54812,18700.26606
54813,24889.25713
54814,29309.73163
54815,34701.02111
54816,12277.35931
54817,52233.02231
54818,44113.60702
54819,16025.94661
54820,42482.79319
54821,17055.21457
54822,29925.55548
54823,38243.9768
54824,103389.704
54825,35824.70169
54826,79091.33741
54827,70522.82092
54828,33188.22029
54829,51173.10048
54830,14669.68605
54831,26209.18785
54832,82289.55385
